amfi_code,scheme_name,fund_house,category,plan,expense_ratio_pct,return_3yr_pct,sharpe_ratio,alpha,max_drawdown_pct,aum_crore,morningstar_rating,rank_return_3yr,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,composite_score,overall_rank
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Regular,0.77,6.07,1.52,1.6,-2.3,24101.0,5,7.5,90.0,70.0,77.5,97.5,60.12,11
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,1.36,18.08,0.95,0.89,-21.84,979.0,3,82.5,60.0,28.749999999999996,62.5,45.0,59.38,12
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Regular,1.38,16.58,0.87,0.95,-13.67,23185.0,5,77.5,30.0,37.5,57.49999999999999,77.5,54.62,13
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Regular,0.79,5.14,5.14,1.18,-3.66,38995.0,5,2.5,95.0,50.0,72.5,92.5,54.62,13
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Regular,0.55,5.31,1.33,0.89,-2.23,30030.0,4,5.0,87.5,28.749999999999996,97.5,100.0,53.75,15
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Direct,0.8,14.41,1.03,0.88,-26.59,41553.0,3,52.5,80.0,25.0,70.0,22.5,53.5,16
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Direct,0.72,12.33,0.88,1.7,-18.14,39475.0,3,35.0,36.25,76.25,86.25,55.00000000000001,53.25,17
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,1.6,13.78,0.98,1.34,-15.07,23500.0,5,47.5,72.5,57.49999999999999,8.750000000000002,72.5,52.44,18
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Regular,1.55,14.84,1.06,0.78,-17.41,6434.0,5,62.5,83.75,15.0,19.999999999999996,60.0,51.69,19
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,1.51,14.0,1.0,0.86,-16.07,20909.0,4,50.0,77.5,20.0,38.74999999999999,70.0,51.19,20
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,1.54,12.82,0.92,1.82,-21.7,41828.0,5,40.0,50.0,87.5,23.750000000000004,48.75,50.44,21
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,1.38,20.98,0.84,0.51,-14.45,21545.0,4,92.5,22.5,2.5,57.49999999999999,75.0,50.0,22
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,1.41,14.76,0.98,0.55,-21.89,2571.0,4,57.49999999999999,72.5,7.5,52.5,42.5,49.0,23
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,1.52,14.56,0.91,1.7,-33.15,49046.0,5,55.00000000000001,46.25,76.25,33.75,5.0,48.88,24
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,1.51,15.61,0.82,1.12,-13.43,41728.0,5,72.5,18.75,42.5,38.74999999999999,80.0,48.75,25
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Direct,0.92,13.38,0.96,1.13,-33.5,10611.0,4,42.5,65.0,46.25,65.0,2.5,48.25,26
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Direct,0.75,12.14,0.87,1.43,-17.4,15866.0,4,30.0,30.0,65.0,80.0,62.5,47.75,27
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Direct,0.89,11.77,0.91,1.8,-26.75,20284.0,5,22.5,46.25,85.0,67.5,20.0,47.44,28
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,1.61,17.16,0.9,1.02,-26.99,37835.0,4,80.0,41.25,40.0,5.000000000000004,17.5,44.81,29
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,1.38,15.18,0.8,1.42,-32.38,28996.0,5,65.0,6.25,62.5,57.49999999999999,7.5,42.94,30
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,1.52,20.08,0.8,0.69,-17.01,35124.0,4,87.5,6.25,12.5,33.75,67.5,42.12,31
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,0.66,11.3,0.81,1.78,-24.43,1231.0,3,17.5,13.750000000000002,80.0,90.0,30.0,41.19,32
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Direct,0.78,15.29,0.8,0.9,-32.22,18792.0,4,67.5,6.25,32.5,75.0,10.0,40.56,33
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,1.53,20.15,0.81,0.8,-30.87,43630.0,4,90.0,13.750000000000002,17.5,28.749999999999996,12.5,39.5,34
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,1.59,12.25,0.87,1.27,-17.86,35585.0,3,32.5,30.0,55.00000000000001,12.5,57.49999999999999,35.88,35
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,1.57,12.1,0.93,0.93,-24.42,7350.0,4,27.500000000000004,53.75,35.0,15.000000000000002,32.5,34.19,36
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,1.54,12.36,0.88,0.87,-21.7,14288.0,4,37.5,36.25,22.5,23.750000000000004,48.75,33.25,37
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,1.64,11.84,0.85,1.41,-27.54,25803.0,4,25.0,25.0,60.0,1.2499999999999956,15.0,27.44,38
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,1.42,11.54,0.82,0.66,-25.91,36022.0,4,20.0,18.75,10.0,50.0,25.0,22.69,39
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,1.6,13.58,0.8,0.54,-22.62,2989.0,5,45.0,6.25,5.0,8.750000000000002,37.5,21.12,40
